clave,descripcion,unidad,precio,fuente,fecha,estado
TUBO-PVC-SAN-100,Tubo PVC sanitario norma 100 mm (4 in) en tramo de 6 m,m,43.00,"Tramo 6 m $199-479 con IVA (Surtidor.com feb-2026 $199; MN del Golfo $319 en oferta, lista $479; surtidor.com / mndelgolfo.com); se toma $300 con IVA = $259 sin IVA / 6 m",2026-09,validado con rango de mercado
CODO-PVC-SAN-100,Codo PVC sanitario 100 mm x 90° para cementar,pza,65.00,"Rango tiendas en línea 2026 (ferreflex.mx, plomeriaselecta.com, construrama.com) aprox. $60-95 con IVA para norma sanitaria; el de $250 es hidráulico cédula 80 (toolferreterias.com), no aplica. Sin cotización directa",2026-09,referencia
YEE-PVC-SAN-100,Yee PVC sanitario 100 mm para cementar,pza,95.00,"Estimación ≈1.5 × codo del mismo diámetro (proporción habitual en listas de precios de conexiones sanitarias); sin cotización directa",2026-09,referencia
CEM-PVC-250,Cemento para PVC bote 250 ml,pza,68.00,"Foset/Truper PPVC-250 $79 con IVA (elferretero.com.mx, truper.com); rango $79-155 con IVA",2026-09,validado con rango de mercado
SOP-TUBO-100,Abrazadera colgante para tubo de 100 mm con taquete y pija (juego),pza,28.00,"Estimación de ferretería: abrazadera tipo omega/solera 4 in $20-30 + taquete y pija $3; sin cotización directa",2026-09,referencia
TUBO-CU-M-13,Tubo de cobre rígido tipo M 13 mm (1/2 in) en tramo de 6.10 m,m,68.00,"Tramo 6.10 m: Nacobre lista 2023 $510; Tool Ferreterías $269; Home Depot/Construrama con precio variable por cobre 2026. Se toma $480 con IVA = $414 sin IVA / 6.10 m",2026-09,validado con rango de mercado
CODO-CU-13,Codo de cobre 90° 13 mm cobre a cobre,pza,17.00,"Casa Myers / Surtidor / Tamex: codo 13 mm $19.72-24 con IVA (casamyers.com.mx, surtidor.com); se toma $20 con IVA",2026-09,validado con rango de mercado
TEE-CU-13,Tee de cobre 13 mm cobre a cobre,pza,25.00,"Estimación ≈1.5 × codo de 13 mm (listas Nacobre/IUSA); sin cotización directa",2026-09,referencia
COPLE-CU-13,Cople de cobre 13 mm cobre a cobre,pza,12.00,"Estimación ≈0.7 × codo de 13 mm (listas Nacobre/IUSA); sin cotización directa",2026-09,referencia
SOLD-5050,Soldadura estaño-plomo 50/50 (carrete 454 g),kg,760.00,"Soldadura 50/50 Nacobre $69.60-551 según presentación (casamyers.com.mx/plomeriauniversal); carrete 454 g ≈$400 con IVA = $345 sin IVA → $760/kg",2026-09,validado con rango de mercado
FUNDENTE,Pasta fundente para soldar cobre,kg,450.00,"Frasco 100 g ≈$50-60 con IVA en ferreterías; estimación",2026-09,referencia
GAS-SOPLETE,Cartucho de gas propano 400 g para soplete,pza,110.00,"Cartucho 400 g $110-140 con IVA en ferreterías; estimación",2026-09,referencia
ABRAZ-CU-13,Abrazadera tipo U para tubo de 13 mm con taquete y pija,pza,5.00,"Estimación de ferretería (abrazadera $3 + taquete y pija $2); sin cotización directa",2026-09,referencia
CABLE-THW-12,Cable THW-LS/THHW-LS cal. 12 AWG Condumex Vinanel XXI (caja 100 m),m,14.90,"Caja 100 m: TAMEX $1,726.75 (tamex.mx); Sodimac THHW-LS $2,389; Tu Compa $905 (agotado). Se toma TAMEX con IVA → $14.89/m sin IVA",2026-09,validado con rango de mercado
CINTA-AISLAR,Cinta de aislar vinílica 19 mm x 18 m,pza,25.00,"Rollo 3M/Truper $25-45 con IVA en ferreterías; estimación",2026-09,referencia
CONDUIT-PVC-16,Tubo conduit PVC pesado 16 mm (1/2 in) en tramo de 3 m,m,8.00,"Tramo 3 m: Coel $21.39 (coel.com.mx); Casa Myers, SYSCOM EMTUP12 y otros $22-35 con IVA; se toma $24 sin IVA / 3 m",2026-09,validado con rango de mercado
